Control_Family,Control_ID,Control_Name,Control_Statement,Discussion,Related_Controls,Privacy_Baseline,Security_Baseline_Low,Security_Baseline_Moderate,Security_Baseline_High,Reference,Is_Enhancement,Base_Control_ID
MP,MP-02,MEDIA ACCESS,"Restrict access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].
","System media includes digital and non-digital media. Digital media includes flash drives, diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state, magnetic), compact discs, and digital versatile discs. Non-digital media includes paper and microfilm. Denying access to patient medical records in a community hospital unless the individuals seeking access to such records are authorized healthcare providers is an example of restricting access to non-digital media. Limiting access to the design specifications stored on compact discs in the media library to individuals on the system development team is an example of restricting access to digital media.","AC-19, AU-09, CP-02, CP-09, CP-10, MA-05, MP-04, MP-06, PE-02, PE-03, SC-12, SC-13, SC-34, SI-12",,x,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,MP-02
MP,MP-02(01),AUTOMATED RESTRICTED ACCESS,[Incorporated into MP-4(2)],,,,,,,,True,MP-02
MP,MP-02(02),CRYPTOGRAPHIC PROTECTION,[Incorporated into SC-28(1)],,,,,,,,True,MP-02
MP,MP-03,MEDIA MARKING,"a.  Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and
b.  Exempt [Assignment: organization-defined types of system media] from marking if the media remain within [Assignment: organization-defined controlled areas].
","Security marking refers to the application or use of human-readable security attributes. Digital media includes diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state, magnetic), flash drives, compact discs, and digital versatile discs. Non-digital media includes paper and microfilm. Controlled unclassified information is defined by the National Archives and Records Administration along with the appropriate safeguarding and dissemination requirements for such information and is codified in 32 CFR 2002. Security markings are generally not required for media that contains information determined by organizations to be in the public domain or to be publicly releasable. Some organizations may require markings for public information indicating that the information is publicly releasable. System media marking reflects applicable laws, executive orders, directives, policies, regulations, standards, and guidelines.","AC-16, CP-09, MP-05, PE-22, SI-12",,,x,x,"32 CFR 2002: Code of Federal Regulations, Title 32, Controlled Unclassified Information (32 C.F.R. 2002).",False,MP-03
MP,MP-04,MEDIA STORAGE,"a.  Physically control and securely store [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas]; and
b.  Protect system media types defined in MP-4a until the media are destroyed or sanitized using approved equipment, techniques, and procedures.
","System media includes digital and non-digital media. Digital media includes flash drives, diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state, magnetic), compact discs, and digital versatile discs. Non-digital media includes paper and microfilm. Physically controlling stored media includes conducting inventories, ensuring procedures are in place to allow individuals to check out and return media to the library, and maintaining accountability for stored media. Secure storage includes a locked drawer, desk, or cabinet or a controlled media library. The type of media storage is commensurate with the security category or classification of the information on the media. Controlled areas are spaces that provide physical and procedural controls to meet the requirements established for protecting information and systems. Fewer controls may be needed for media that contains information determined to be in the public domain, publicly releasable, or have limited adverse impacts on organizations, operations, or individuals if accessed by other than authorized personnel. In these situations, physical access controls provide adequate protection.","AC-19, CP-02, CP-06, CP-09, CP-10, MP-02, MP-07, PE-03, PL-02, SC-12, SC-13, SC-28, SC-34, SI-12",,,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,MP-04
MP,MP-04(01),CRYPTOGRAPHIC PROTECTION,[Incorporated into SC-28(1)],,,,,,,,True,MP-04
MP,MP-04(02),AUTOMATED RESTRICTED ACCESS,"Restrict access to media storage areas and log access attempts and access granted using [Assignment: organization-defined automated mechanisms].
","Automated mechanisms include keypads, biometric readers, or card readers on the external entries to media storage areas.","AC-03, AU-02, AU-06, AU-09, AU-12, PE-03",,,,,,True,MP-04
MP,MP-05,MEDIA TRANSPORT,"a.  Protect and control [Assignment: organization-defined types of system media] during transport outside of controlled areas using [Assignment: organization-defined controls];
b.  Maintain accountability for system media during transport outside of controlled areas;
c.  Document activities associated with the transport of system media; and
d.  Restrict the activities associated with the transport of system media to authorized personnel.
","System media includes digital and non-digital media. Digital media includes flash drives, diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state and  magnetic), compact discs, and digital versatile discs. Non-digital media includes microfilm and paper. Controlled areas are spaces for which organizations provide physical or procedural controls to meet requirements established for protecting information and systems. Controls to protect media during transport include cryptography and locked containers. Cryptographic mechanisms can provide confidentiality and integrity protections depending on the mechanisms implemented. Activities associated with media transport include releasing media for transport, ensuring that media enters the appropriate transport processes, and the actual transport. Authorized transport and courier personnel may include individuals external to the organization. Maintaining accountability of media during transport includes restricting transport activities to authorized personnel and tracking and/or obtaining records of transport activities as the media moves through the transportation system to prevent and detect loss, destruction, or tampering. Organizations establish documentation requirements for activities associated with the transport of system media in accordance with organizational assessments of risk. Organizations maintain the flexibility to define record-keeping methods for the different types of media transport as part of a system of transport-related records.","AC-07, AC-19, CP-02, CP-09, MP-03, MP-04, PE-16, PL-02, SC-12, SC-13, SC-28, SC-34",,,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,MP-05
MP,MP-05(01),PROTECTION OUTSIDE OF CONTROLLED AREAS,[Incorporated into MP-5],,,,,,,,True,MP-05
MP,MP-05(02),DOCUMENTATION OF ACTIVITIES,[Incorporated into MP-5],,,,,,,,True,MP-05
MP,MP-05(03),CUSTODIANS,"Employ an identified custodian during transport of system media outside of controlled areas.
",Identified custodians provide organizations with specific points of contact during the media transport process and facilitate individual accountability. Custodial responsibilities can be transferred from one individual to another if an unambiguous custodian is identified.,,,,,,,True,MP-05
MP,MP-05(04),CRYPTOGRAPHIC PROTECTION,[Incorporated into SC-28(1)],,,,,,,,True,MP-05
MP,MP-06,MEDIA SANITIZATION,"a.  Sanitize [Assignment: organization-defined system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures]; and
b.  Employ sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.
","Media sanitization applies to all digital and non-digital system media subject to disposal or reuse, whether or not the media is considered removable. Examples include digital media in scanners, copiers, printers, notebook computers, workstations, network components, mobile devices, and non-digital media (e.g., paper and microfilm). The sanitization process removes information from system media such that the information cannot be retrieved or reconstructed. Sanitization techniques—including clearing, purging, cryptographic erase, de-identification of personally identifiable information, and destruction—prevent the disclosure of information to unauthorized individuals when such media is reused or released for disposal. Organizations determine the appropriate sanitization methods, recognizing that destruction is sometimes necessary when other methods cannot be applied to media requiring sanitization. Organizations use discretion on the employment of approved sanitization techniques and procedures for media that contains information deemed to be in the public domain or publicly releasable or information deemed to have no adverse impact on organizations or individuals if released for reuse or disposal. Sanitization of non-digital media includes destruction, removing a classified appendix from an otherwise unclassified document, or redacting selected sections or words from a document by obscuring the redacted sections or words in a manner equivalent in effectiveness to removing them from the document. NSA standards and policies control the sanitization process for media that contains classified information. NARA policies control the sanitization process for controlled unclassified information.","AC-03, AC-07, AU-11, MA-02, MA-03, MA-04, MA-05, PM-22, SI-12, SI-18, SI-19, SR-11",x,x,x,x,"32 CFR 2002: Code of Federal Regulations, Title 32, Controlled Unclassified Information (32 C.F.R. 2002).",False,MP-06
MP,MP-06(01),"REVIEW, APPROVE, TRACK, DOCUMENT, AND VERIFY","Review, approve, track, document, and verify media sanitization and disposal actions.
","Organizations review and approve media to be sanitized to ensure compliance with records retention policies. Tracking and documenting actions include listing personnel who reviewed and approved sanitization and disposal actions, types of media sanitized, files stored on the media, sanitization methods used, date and time of the sanitization actions, personnel who performed the sanitization, verification actions taken and personnel who performed the verification, and the disposal actions taken. Organizations verify that the sanitization of the media was effective prior to disposal.",,,,,x,,True,MP-06
MP,MP-06(02),EQUIPMENT TESTING,"Test sanitization equipment and procedures [Assignment: organization-defined frequency] to ensure that the intended sanitization is being achieved.
","Testing of sanitization equipment and procedures may be conducted by qualified and authorized external entities, including federal agencies or external service providers.",,,,,x,,True,MP-06
MP,MP-06(03),NONDESTRUCTIVE TECHNIQUES,"Apply nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the system under the following circumstances: [Assignment: organization-defined circumstances requiring sanitization of portable storage devices].
","Portable storage devices include external or removable hard disk drives (e.g., solid state, magnetic), optical discs, magnetic or optical tapes, flash memory devices, flash memory cards, and other external or removable disks. Portable storage devices can be obtained from untrustworthy sources and contain malicious code that can be inserted into or transferred to organizational systems through USB ports or other entry portals. While scanning storage devices is recommended, sanitization provides additional assurance that such devices are free of malicious code. Organizations consider nondestructive sanitization of portable storage devices when the devices are purchased from manufacturers or vendors prior to initial use or when organizations cannot maintain a positive chain of custody for the devices.",,,,,x,,True,MP-06
MP,MP-06(04),CONTROLLED UNCLASSIFIED INFORMATION,[Incorporated into MP-6],,,,,,,,True,MP-06
MP,MP-06(05),CLASSIFIED INFORMATION,[Incorporated into MP-6],,,,,,,,True,MP-06
MP,MP-06(06),MEDIA DESTRUCTION,[Incorporated into MP-6],,,,,,,,True,MP-06
MP,MP-06(07),DUAL AUTHORIZATION,"Enforce dual authorization for the sanitization of [Assignment: organization-defined system media].
","Organizations employ dual authorization to help ensure that system media sanitization cannot occur unless two technically qualified individuals conduct the designated task. Individuals who sanitize system media possess sufficient skills and expertise to determine if the proposed sanitization reflects applicable federal and organizational standards, policies, and procedures. Dual authorization also helps to ensure that sanitization occurs as intended, protecting against errors and false claims of having performed the sanitization actions. Dual authorization may also be known as two-person control. To reduce the risk of collusion, organizations consider rotating dual authorization duties to other individuals.","AC-03, MP-02",,,,,,True,MP-06
MP,MP-06(08),REMOTE PURGING OR WIPING OF INFORMATION,"Provide the capability to purge or wipe information from [Assignment: organization-defined systems or system components] [Selection (one): remotely; under the following conditions: [Assignment: organization-defined conditions]].
","Remote purging or wiping of information protects information on organizational systems and system components if systems or components are obtained by unauthorized individuals. Remote purge or wipe commands require strong authentication to help mitigate the risk of unauthorized individuals purging or wiping the system, component, or device. The purge or wipe function can be implemented in a variety of ways, including by overwriting data or information multiple times or by destroying the key necessary to decrypt encrypted data.",,,,,,,True,MP-06
MP,MP-07,MEDIA USE,"a.  [Selection (one): Restrict; Prohibit] the use of [Assignment: organization-defined types of system media] on [Assignment: organization-defined systems or system components] using [Assignment: organization-defined controls]; and
b.  Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.
","System media includes both digital and non-digital media. Digital media includes diskettes, magnetic tapes, flash drives, compact discs, digital versatile discs, and removable hard disk drives. Non-digital media includes paper and microfilm. Media use protections also apply to mobile devices with information storage capabilities. In contrast to MP-02, which restricts user access to media, MP-7 restricts the use of certain types of media on systems, for example, restricting or prohibiting the use of flash drives or external hard disk drives. Organizations use technical and nontechnical controls to restrict the use of system media. Organizations may restrict the use of portable storage devices, for example, by using physical cages on workstations to prohibit access to certain external ports or disabling or removing the ability to insert, read, or write to such devices. Organizations may also limit the use of portable storage devices to only approved devices, including devices provided by the organization, devices provided by other approved organizations, and devices that are not personally owned. Finally, organizations may restrict the use of portable storage devices based on the type of device, such as by prohibiting the use of writeable, portable storage devices and implementing this restriction by disabling or removing the capability to write to such devices. Requiring identifiable owners for storage devices reduces the risk of using such devices by allowing organizations to assign responsibility for addressing known vulnerabilities in the devices.","AC-19, AC-20, PL-04, PM-12, SC-34, SC-41",,x,x,x,"FIPS 199: National Institute of Standards and Technology (2004) Standards for Security Categorization of Federal Information and Information Systems. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 199.",False,MP-07
MP,MP-07(01),PROHIBIT USE WITHOUT OWNER,[Incorporated into MP-7],,,,,,,,True,MP-07
MP,MP-07(02),PROHIBIT USE OF SANITIZATION-RESISTANT MEDIA,"Prohibit the use of sanitization-resistant media in organizational systems.
","Sanitization resistance refers to how resistant media are to non-destructive sanitization techniques with respect to the capability to purge information from media. Certain types of media do not support sanitization commands, or if supported, the interfaces are not supported in a standardized way across these devices. Sanitization-resistant media includes compact flash, embedded flash on boards and devices, solid state drives, and USB removable media.",MP-06,,,,,,True,MP-07
MP,MP-08,MEDIA DOWNGRADING,"a.  Establish [Assignment: organization-defined system media downgrading process] that includes employing downgrading mechanisms with strength and integrity commensurate with the security category or classification of the information;
b.  Verify that the system media downgrading process is commensurate with the security category and/or classification level of the information to be removed and the access authorizations of the potential recipients of the downgraded information;
c.  Identify [Assignment: organization-defined system media requiring downgrading]; and
d.  Downgrade the identified system media using the established process.
","Media downgrading applies to digital and non-digital media subject to release outside of the organization, whether the media is considered removable or not. When applied to system media, the downgrading process removes information from the media, typically by security category or classification level, such that the information cannot be retrieved or reconstructed. Downgrading of media includes redacting information to enable wider release and distribution. Downgrading ensures that empty space on the media is devoid of information.",,,,,,"32 CFR 2002: Code of Federal Regulations, Title 32, Controlled Unclassified Information (32 C.F.R. 2002).",False,MP-08
MP,MP-08(01),DOCUMENTATION OF PROCESS,"Document system media downgrading actions.
","Organizations can document the media downgrading process by providing information, such as the downgrading technique employed, the identification number of the downgraded media, and the identity of the individual that authorized and/or performed the downgrading action.",,,,,,,True,MP-08
MP,MP-08(02),EQUIPMENT TESTING,"Test downgrading equipment and procedures [Assignment: organization-defined frequency] to ensure that downgrading actions are being achieved.
",None.,,,,,,,True,MP-08
MP,MP-08(03),CONTROLLED UNCLASSIFIED INFORMATION,"Downgrade system media containing controlled unclassified information prior to public release.
","The downgrading of controlled unclassified information uses approved sanitization tools, techniques, and procedures.",,,,,,,True,MP-08
MP,MP-08(04),CLASSIFIED INFORMATION,"Downgrade system media containing classified information prior to release to individuals without required access authorizations.
","Downgrading of classified information uses approved sanitization tools, techniques, and procedures to transfer information confirmed to be unclassified from classified systems to unclassified media.",,,,,,,True,MP-08
PE,PE-01,POLICY AND PROCEDURES,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] physical and environmental protection policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the physical and environmental protection policy and the associated physical and environmental protection controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the physical and environmental protection policy and procedures; and
c.  Review and update the current physical and environmental protection:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
","Physical and environmental protection policy and procedures address the controls in the PE family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of physical and environmental protection policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to physical and environmental protection policy and procedures include assessment or audit findings, security incidents or breaches, or changes in applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","AT-03, PM-09, PS-08, SI-02, SI-12",,x,x,x,"SP 800-100: Bowen P, Hash J, Wilson M (2006) Information Security Handbook: A Guide for Managers. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-100, Includes updates as of March 7, 2007.",False,PE-01
PE,PE-02,PHYSICAL ACCESS AUTHORIZATIONS,"a.  Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides;
b.  Issue authorization credentials for facility access;
c.  Review the access list detailing authorized facility access by individuals [Assignment: organization-defined frequency]; and
d.  Remove individuals from the facility access list when access is no longer required.
","Physical access authorizations apply to employees and visitors. Individuals with permanent physical access authorization credentials are not considered visitors. Authorization credentials include ID badges, identification cards, and smart cards. Organizations determine the strength of authorization credentials needed consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Physical access authorizations may not be necessary to access certain areas within facilities that are designated as publicly accessible.","AT-03, AU-09, IA-04, MA-05, MP-02, PE-03, PE-04, PE-05, PE-08, PM-12, PS-03, PS-04, PS-05, PS-06",,x,x,x,"FIPS 201-2: National Institute of Standards and Technology (2013) Personal Identity Verification (PIV) of Federal Employees and Contractors. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 201-2.",False,PE-02
PE,PE-02(01),ACCESS BY POSITION OR ROLE,"Authorize physical access to the facility where the system resides based on position or role.
","Role-based facility access includes access by authorized permanent and regular/routine maintenance personnel, duty officers, and emergency medical staff.","AC-02, AC-03, AC-06",,,,,,True,PE-02
PE,PE-02(02),TWO FORMS OF IDENTIFICATION,"Require two forms of identification from the following forms of identification for visitor access to the facility where the system resides: [Assignment: organization-defined list of acceptable forms of identification].
","Acceptable forms of identification include passports, REAL ID-compliant drivers’ licenses, and Personal Identity Verification (PIV) cards. For gaining access to facilities using automated mechanisms, organizations may use PIV cards, key cards, PINs, and biometrics.","IA-02, IA-04, IA-05",,,,,,True,PE-02
PE,PE-02(03),RESTRICT UNESCORTED ACCESS,"Restrict unescorted access to the facility where the system resides to personnel with [Selection (one or more): security clearances for all information contained within the system; formal access authorizations for all information contained within the system; need for access to all information contained within the system; [Assignment: organization-defined physical access authorizations]].
","Individuals without required security clearances, access approvals, or need to know are escorted by individuals with appropriate physical access authorizations to ensure that information is not exposed or otherwise compromised.","PS-02, PS-06",,,,,,True,PE-02
PE,PE-03,PHYSICAL ACCESS CONTROL,"a.  Enforce physical access authorizations at [Assignment: organization-defined entry and exit points to the facility where the system resides] by:
1.  Verifying individual access authorizations before granting access to the facility; and
2.  Controlling ingress and egress to the facility using [Selection (one or more): [Assignment: organization-defined physical access control systems or devices]; guards];
b.  Maintain physical access audit logs for [Assignment: organization-defined entry or exit points];
c.  Control access to areas within the facility designated as publicly accessible by implementing the following controls: [Assignment: organization-defined physical access controls];
d.  Escort visitors and control visitor activity [Assignment: organization-defined circumstances requiring visitor escorts and control of visitor activity];
e.  Secure keys, combinations, and other physical access devices;
f.  Inventory [Assignment: organization-defined physical access devices] every [Assignment: organization-defined frequency]; and
g.  Change combinations and keys [Assignment: organization-defined frequency] and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated.
","Physical access control applies to employees and visitors. Individuals with permanent physical access authorizations are not considered visitors. Physical access controls for publicly accessible areas may include physical access control logs/records, guards, or physical access devices and barriers to prevent movement from publicly accessible areas to non-public areas. Organizations determine the types of guards needed, including professional security staff, system users, or administrative staff. Physical access devices include keys, locks, combinations, biometric readers, and card readers. Physical access control systems comply with applicable laws, executive orders, directives, policies, regulations, standards, and guidelines. Organizations have flexibility in the types of audit logs employed. Audit logs can be procedural, automated, or some combination thereof. Physical access points can include facility access points, interior access points to systems that require supplemental access controls, or both. Components of systems may be in areas designated as publicly accessible with organizations controlling access to the components.","AT-03, AU-02, AU-06, AU-09, AU-13, CP-10, IA-03, IA-08, MA-05, MP-02, MP-04, PE-02, PE-04, PE-05, PE-08, PS-02, PS-03, PS-06, PS-07, RA-03, SC-28, SI-04, SR-03",,x,x,x,"FIPS 201-2: National Institute of Standards and Technology (2013) Personal Identity Verification (PIV) of Federal Employees and Contractors. (U.S. Department of Commerce, Washington, D.C.), Federal Information Processing Standards Publication (FIPS) 201-2.",False,PE-03
PE,PE-03(01),SYSTEM ACCESS,"Enforce physical access authorizations to the system in addition to the physical access controls for the facility at [Assignment: organization-defined physical spaces containing one or more components of the system].
",Control of physical access to the system provides additional physical security for those areas within facilities where there is a concentration of system components.,,,,,x,,True,PE-03
PE,PE-03(02),FACILITY AND SYSTEMS,"Perform security checks [Assignment: organization-defined frequency] at the physical perimeter of the facility or system for exfiltration of information or removal of system components.
","Organizations determine the extent, frequency, and/or randomness of security checks to adequately mitigate risk associated with exfiltration.","AC-04, SC-07",,,,,,True,PE-03
PE,PE-03(03),CONTINUOUS GUARDS,"Employ guards to control [Assignment: organization-defined physical access points] to the facility where the system resides 24 hours per day, 7 days per week.
",Employing guards at selected physical access points to the facility provides a more rapid response capability for organizations. Guards also provide the opportunity for human surveillance in areas of the facility not covered by video surveillance.,"CP-06, CP-07, PE-06",,,,,,True,PE-03
PE,PE-03(04),LOCKABLE CASINGS,"Use lockable physical casings to protect [Assignment: organization-defined system components] from unauthorized physical access.
","The greatest risk from the use of portable devices—such as smart phones, tablets, and notebook computers—is theft. Organizations can employ lockable, physical casings to reduce or eliminate the risk of equipment theft. Such casings come in a variety of sizes, from units that protect a single notebook computer to full cabinets that can protect multiple servers, computers, and peripherals. Lockable physical casings can be used in conjunction with cable locks or lockdown plates to prevent the theft of the locked casing containing the computer equipment.",,,,,,,True,PE-03
PE,PE-03(05),TAMPER PROTECTION,"Employ [Assignment: organization-defined anti-tamper technologies] to [Selection (one or more): detect; prevent] physical tampering or alteration of [Assignment: organization-defined hardware components] within the system.
","Organizations can implement tamper detection and prevention at selected hardware components or implement tamper detection at some components and tamper prevention at other components. Detection and prevention activities can employ many types of anti-tamper technologies, including tamper-detection seals and anti-tamper coatings. Anti-tamper programs help to detect hardware alterations through counterfeiting and other supply chain-related risks.","SA-16, SR-09, SR-11",,,,,,True,PE-03
PE,PE-03(06),FACILITY PENETRATION TESTING,[Incorporated into CA-8],,,,,,,,True,PE-03
PE,PE-03(07),PHYSICAL BARRIERS,"Limit access using physical barriers.
","Physical barriers include bollards, concrete slabs, jersey walls, and hydraulic active vehicle barriers.",,,,,,,True,PE-03
PE,PE-03(08),ACCESS CONTROL VESTIBULES,"Employ access control vestibules at [Assignment: organization-defined locations within the facility].
","An access control vestibule is part of a physical access control system that typically provides a space between two sets of interlocking doors. Vestibules are designed to prevent unauthorized individuals from following authorized individuals into facilities with controlled access. This activity, also known as piggybacking or tailgating, results in unauthorized access to the facility. Interlocking door controllers can be used to limit the number of individuals who enter controlled access points and to provide containment areas while authorization for physical access is verified. Interlocking door controllers can be fully automated (i.e., controlling the opening and closing of the doors) or partially automated (i.e., using security guards to control the number of individuals entering the containment area).",,,,,,,True,PE-03
PE,PE-04,ACCESS CONTROL FOR TRANSMISSION,"Control physical access to [Assignment: organization-defined system distribution and transmission lines] within organizational facilities using [Assignment: organization-defined security controls].
","Security controls applied to system distribution and transmission lines prevent accidental damage, disruption, and physical tampering. Such controls may also be necessary to prevent eavesdropping or modification of unencrypted transmissions. Security controls used to control physical access to system distribution and transmission lines include disconnected or locked spare jacks, locked wiring closets, protection of cabling by conduit or cable trays, and wiretapping sensors.","AT-03, IA-04, MP-02, MP-04, PE-02, PE-03, PE-05, PE-09, SC-07, SC-08",,,x,x,,False,PE-04
PE,PE-05,ACCESS CONTROL FOR OUTPUT DEVICES,"Control physical access to output from [Assignment: organization-defined output devices] to prevent unauthorized individuals from obtaining the output.
","Controlling physical access to output devices includes placing output devices in locked rooms or other secured areas with keypad or card reader access controls and allowing access to authorized individuals only, placing output devices in locations that can be monitored by personnel, installing monitor or screen filters, and using headphones. Examples of output devices include monitors, printers, scanners, audio devices, facsimile machines, and copiers.","PE-02, PE-03, PE-04, PE-18",,,x,x,"IR 8023: Dempsey KL, Paulsen C (2015) Risk Management for Replication Devices. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Interagency or Internal Report (IR) 8023.",False,PE-05
PE,PE-05(01),ACCESS TO OUTPUT BY AUTHORIZED INDIVIDUALS,[Incorporated into PE-5],,,,,,,,True,PE-05
PE,PE-05(02),LINK TO INDIVIDUAL IDENTITY,"Link individual identity to receipt of output from output devices.
","Methods for linking individual identity to the receipt of output from output devices include installing security functionality on facsimile machines, copiers, and printers. Such functionality allows organizations to implement authentication on output devices prior to the release of output to individuals.",,,,,,,True,PE-05
PE,PE-05(03),MARKING OUTPUT DEVICES,[Incorporated into PE-22],,,,,,,,True,PE-05
PE,PE-06,MONITORING PHYSICAL ACCESS,"a.  Monitor physical access to the facility where the system resides to detect and respond to physical security incidents;
b.  Review physical access logs [Assignment: organization-defined frequency] and upon occurrence of [Assignment: organization-defined events or potential indications of events]; and
c.  Coordinate results of reviews and investigations with the organizational incident response capability.
","Physical access monitoring includes publicly accessible areas within organizational facilities. Examples of physical access monitoring include the employment of guards, video surveillance equipment (i.e., cameras), and sensor devices. Reviewing physical access logs can help identify suspicious activity, anomalous events, or potential threats. The reviews can be supported by audit logging controls, such as AU-02, if the access logs are part of an automated system. Organizational incident response capabilities include investigations of physical security incidents and responses to the incidents. Incidents include security violations or suspicious physical access activities. Suspicious physical access activities include accesses outside of normal work hours, repeated accesses to areas not normally accessed, accesses for unusual lengths of time, and out-of-sequence accesses.","AU-02, AU-06, AU-09, AU-12, CA-07, CP-10, IR-04, IR-08",,x,x,x,,False,PE-06
PE,PE-06(01),INTRUSION ALARMS AND SURVEILLANCE EQUIPMENT,"Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.
","Physical intrusion alarms can be employed to alert security personnel when unauthorized access to the facility is attempted. Alarm systems work in conjunction with physical barriers, physical access control systems, and security guards by triggering a response when these other forms of security have been compromised or breached. Physical intrusion alarms can include different types of sensor devices, such as motion sensors, contact sensors, and broken glass sensors. Surveillance equipment includes video cameras installed at strategic locations throughout the facility.",,,,x,x,,True,PE-06
PE,PE-06(02),AUTOMATED INTRUSION RECOGNITION AND RESPONSES,"Recognize [Assignment: organization-defined classes or types of intrusions] and initiate [Assignment: organization-defined response actions] using [Assignment: organization-defined automated mechanisms].
","Response actions can include notifying selected organizational personnel or law enforcement personnel. Automated mechanisms implemented to initiate response actions include system alert notifications, email and text messages, and activating door locking mechanisms. Physical access monitoring can be coordinated with intrusion detection systems and system monitoring capabilities to provide integrated threat coverage for the organization.",SI-04,,,,,,True,PE-06
PE,PE-06(03),VIDEO SURVEILLANCE,"a.  Employ video surveillance of [Assignment: organization-defined operational areas];
b.  Review video recordings [Assignment: organization-defined frequency]; and
c.  Retain video recordings for [Assignment: organization-defined time period].
","Video surveillance focuses on recording activity in specified areas for the purposes of subsequent review, if circumstances so warrant. Video recordings are typically reviewed to detect anomalous events or incidents. Monitoring the surveillance video is not required, although organizations may choose to do so. There may be legal considerations when performing and retaining video surveillance, especially if such surveillance is in a public location.",,,,,,,True,PE-06
PE,PE-06(04),MONITORING PHYSICAL ACCESS TO SYSTEMS,"Monitor physical access to the system in addition to the physical access monitoring of the facility at [Assignment: organization-defined physical spaces containing one or more components of the system].
","Monitoring physical access to systems provides additional monitoring for those areas within facilities where there is a concentration of system components, including server rooms, media storage areas, and communications centers. Physical access monitoring can be coordinated with intrusion detection systems and system monitoring capabilities to provide comprehensive and integrated threat coverage for the organization.",,,,,x,,True,PE-06
PE,PE-07,VISITOR CONTROL,"[Incorporated into PE-2, PE-3]",,,,,,,,False,PE-07
PE,PE-08,VISITOR ACCESS RECORDS,"a.  Maintain visitor access records to the facility where the system resides for [Assignment: organization-defined time period];
b.  Review visitor access records [Assignment: organization-defined frequency]; and
c.  Report anomalies in visitor access records to [Assignment: organization-defined personnel].
","Visitor access records include the names and organizations of individuals visiting, visitor signatures, forms of identification, dates of access, entry and departure times, purpose of visits, and the names and organizations of individuals visited. Access record reviews determine if access authorizations are current and are still required to support organizational mission and business functions. Access records are not required for publicly accessible areas.","PE-02, PE-03, PE-06",,x,x,x,,False,PE-08
